goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,ref_player_id
0,1,0.10385899990797043,65,MC,Nantes,Rennes,1,1,2018-04-20,8898,2017,233978,0,0,0,0,0.10385899990797043,0.10385899990797043,0,3364
0,0,0,1,Sub,Amiens,Rennes,0,2,2018-03-03,8836,2017,221299,0,0,0,0,0,0,0,3364
0,0,0,1,Sub,Lyon,Rennes,0,2,2018-02-11,8809,2017,215622,0,0,0,0,0,0,0,3364
0,0,0,11,Sub,Rennes,Marseille,0,3,2018-01-13,8761,2017,207828,0,0,0,0,0,0,0,3364
0,1,0.09135720133781433,90,MC,Monaco,Rennes,2,1,2017-12-20,8754,2017,203744,0.08866450190544128,0,1,0,0.09135720133781433,0.2950359880924225,0.11501400172710419,3364
0,2,0.16938599944114685,67,ML,Rennes,Paris Saint Germain,1,4,2017-12-16,8741,2017,203426,0,0,0,0,0.16938599944114685,0.06730390340089798,0,3364
0,0,0,48,AMC,Metz,Rennes,1,1,2017-12-09,8730,2017,199227,0,0,0,0,0,0,0,3364
0,1,0.04281479865312576,63,AMC,Strasbourg,Rennes,2,1,2017-11-18,8694,2017,183432,0,0,0,0,0.04281479865312576,0.06992880254983902,0.06992880254983902,3364
0,0,0,90,MC,Guingamp,Rennes,2,0,2017-10-14,8653,2017,182126,0.13655899465084076,0,2,0,0,0.1811320036649704,0.1811320036649704,3364
0,1,0.05705910176038742,54,AMC,Rennes,Caen,0,1,2017-09-30,8638,2017,181840,0,0,0,0,0.05705910176038742,0.09655570238828659,0.03949650004506111,3364
0,1,0.3027789890766144,54,Sub,Saint-Etienne,Rennes,2,2,2017-09-24,8633,2017,182104,0,0,0,0,0.3027789890766144,0.3027789890766144,0,3364
0,2,0.11574500054121017,80,ML,Rennes,Nice,0,1,2017-09-17,8616,2017,181448,0.16956399381160736,0,2,0,0.11574500054121017,0.2987140119075775,0.08265669643878937,3364
0,2,0.04515939950942993,72,AMC,Toulouse,Rennes,3,2,2017-08-26,8603,2017,181023,0.13410800695419312,0,1,0,0.04515939950942993,0.2461709976196289,0.1120619997382164,3364
0,0,0,70,MR,Rennes,Dijon,2,2,2017-08-19,8592,2017,180671,0,0,0,0,0,0.49800801277160645,0.49800801277160645,3364
0,0,0,43,MR,Rennes,Lyon,1,1,2017-04-02,4220,2016,121709,0,0,0,0,0,0,0,3364
0,0,0,71,MR,Toulouse,Rennes,0,0,2017-03-18,4211,2016,122278,0,0,0,0,0,0.018833400681614876,0.018833400681614876,3364
0,0,0,20,MR,Marseille,Rennes,2,0,2017-02-18,4168,2016,123693,0,0,0,0,0,0,0,3364
1,2,0.462442010641098,90,MR,Rennes,Nice,2,2,2017-02-12,4161,2016,122292,0.12219099700450897,0,3,1,0.462442010641098,0.518297016620636,0.05585480108857155,3364
0,1,0.012861999683082104,90,MR,Angers,Rennes,0,0,2017-02-08,4152,2016,120953,0.29197800159454346,0,1,0,0.012861999683082104,0.29197800159454346,0,3364
0,3,0.0799923986196518,90,MR,Bordeaux,Rennes,1,1,2017-02-04,4136,2016,119380,0.17252199351787567,0,2,0,0.0799923986196518,1.0185099840164185,0.8230739831924438,3364
0,2,0.07929520308971405,61,Sub,Dijon,Lille,0,0,2017-01-21,4120,2016,120298,0,0,0,0,0.07929520308971405,0.14563299715518951,0.06633739918470383,3364
0,1,0.026565000414848328,10,Sub,Lille,Saint-Etienne,1,1,2017-01-13,4105,2016,119017,0.037724900990724564,0,2,0,0.026565000414848328,0.06428989768028259,0,3364
0,0,0,11,Sub,Lille,Montpellier,2,1,2016-12-10,3241,2016,119317,0,0,0,0,0,0.40668201446533203,0.40668201446533203,3364
0,0,0,1,Sub,Bordeaux,Lille,0,1,2016-12-03,3235,2016,120573,0,0,0,0,0,0,0,3364
0,0,0,1,Sub,Lille,Caen,4,2,2016-11-29,2864,2016,119789,0,0,0,0,0,0,0,3364
0,0,0,18,Sub,Nantes,Lille,0,0,2016-11-26,2855,2016,119085,0,0,0,0,0,0,0,3364
0,1,0.015854300931096077,58,FWR,Lille,Lyon,0,1,2016-11-18,2844,2016,118046,0.01884699985384941,0,1,0,0.015854300931096077,0.03470119833946228,0,3364
0,1,0.008673279546201229,90,FWR,Angers,Lille,1,0,2016-11-05,2838,2016,117430,0,0,0,0,0.008673279546201229,0.08466439694166183,0.07599110156297684,3364
0,0,0,9,Sub,Lille,Paris Saint Germain,0,1,2016-10-28,3318,2016,117335,0,0,0,0,0,0,0,3364
0,0,0,20,Sub,Guingamp,Lille,1,0,2016-10-15,2335,2016,116881,0,0,0,0,0,0,0,3364
0,1,0.0288929995149374,47,AMR,Lille,Nancy,1,0,2016-10-01,2322,2016,116145,0,0,0,0,0.0288929995149374,0,0,3364
0,1,0.11191300302743912,15,Sub,Saint-Etienne,Lille,3,1,2016-09-25,2316,2016,115802,0,0,0,0,0.11191300302743912,0.11191300302743912,0,3364
