id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season
500,Alex Iwobi,13,639,2,1.5485198199748993,2,1.5110217109322548,15,12,0,0,M S,Arsenal,2,1.5485198199748993,5.324223689734936,3.206701472401619,2015
500,Alex Iwobi,26,1471,3,3.227379996329546,3,2.2150607239454985,39,26,1,0,M S,Arsenal,3,3.227379996329546,9.353172458708286,5.631796456873417,2016
500,Alex Iwobi,26,1873,3,4.132385391741991,5,3.4858011808246374,45,36,1,0,F M S,Arsenal,3,4.132385391741991,17.149048805236816,11.71952578984201,2017
500,Alex Iwobi,35,1974,3,3.7199746686965227,6,7.637422086670995,35,40,0,0,F M S,Arsenal,3,3.7199746686965227,18.207131139934063,9.56119485013187,2018
500,Alex Iwobi,25,1637,1,2.478629492223263,0,2.224674778059125,23,24,0,0,F M S,Everton,1,2.478629492223263,7.12299270182848,3.2983944192528725,2019
500,Alex Iwobi,30,1536,1,0.8436323963105679,2,2.1553488839417696,15,16,0,0,D F M S,Everton,1,0.8436323963105679,7.2189144510775805,4.475585374981165,2020
500,Alex Iwobi,28,2041,2,2.403040584176779,2,3.0656776819378138,24,36,1,0,D M S,Everton,2,2.403040584176779,9.433963952586055,5.091717269271612,2021
500,Alex Iwobi,38,3388,2,2.7482709400355816,7,6.127815451472998,42,64,2,0,F M,Everton,2,2.7482709400355816,13.531792795285583,7.712628765031695,2022
500,Alex Iwobi,32,2398,5,5.662265548482537,2,4.8107705460861325,55,52,2,0,M S,"Everton,Fulham",5,5.662265548482537,16.545354936271906,8.541501207277179,2023
500,Alex Iwobi,23,1963,7,3.8389610815793276,3,5.823233669623733,45,42,1,0,D F M,Fulham,7,3.8389610815793276,15.18381991609931,7.325965028256178,2024
500,Alex Iwobi,23,1963,7,3.8389610815793276,3,5.823233669623733,45,42,1,0,D F M,Fulham,7,3.8389610815793276,15.18381991609931,7.325965028256178,2025
