id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
647,Harry Kane,35,3097,23,22.174864932894707,14,7.57709795050323,138,49,1,0,F,Tottenham,19,19.130178958177567,24.995637115091085,4.451255418360233
1250,Mohamed Salah,37,3085,22,20.250850511714816,5,6.528527559712529,126,55,0,0,F M S,Liverpool,16,15.683834107592702,28.968229439109564,9.800236526876688
1228,Bruno Fernandes,37,3117,18,16.019450719468296,12,11.474997889250517,121,95,6,0,M S,Manchester United,9,8.407837779261172,26.91141940653324,11.932286506518722
453,Son Heung-Min,37,3139,17,11.023286264389753,10,9.51299634668976,68,75,0,0,F M S,Tottenham,16,10.26211767271161,20.671933140605688,6.608754173852503
822,Patrick Bamford,38,3085,17,18.40186234563589,7,3.782248348928988,107,30,3,0,F S,Leeds,15,16.879525646567345,23.394968066364527,4.13179549202323
5555,Dominic Calvert-Lewin,33,2878,16,18.210516868159175,0,2.1018170565366745,83,18,3,0,F S,Everton,16,18.210516868159175,19.88430229574442,4.270792106166482
755,Jamie Vardy,34,2848,15,19.942946769297123,9,5.08788326010108,82,28,1,0,F S,Leicester,7,13.09242221340537,18.22790863364935,2.412587182596326
8865,Ollie Watkins,37,3330,14,16.280176680535078,5,5.314029790461063,98,45,2,1,F,Aston Villa,13,14.75783659145236,22.014022789895535,5.334985261783004
314,Ilkay Gündogan,28,2033,13,9.566889390349388,2,3.8162214383482933,54,42,1,0,M S,Manchester City,12,8.044548198580742,19.286807842552662,10.148369457572699
3277,Alexandre Lacazette,31,1939,13,12.02891095355153,2,2.2092133089900017,45,22,3,0,F M S,Arsenal,10,9.745402950793505,14.361543761566281,2.937945641577244
468,Callum Wilson,26,2079,12,13.590087059885263,5,3.046299707144499,49,17,2,0,F S,Newcastle United,8,10.545412976294756,14.205596320331097,1.052544891834259
620,Kelechi Iheanacho,25,1452,12,9.048603574745357,2,3.5340976137667894,59,28,1,0,F S,Leicester,12,8.287429581396282,13.961564272642136,3.4299194402992725
986,Danny Ings,29,2200,12,8.276573972776532,4,2.3112313207238913,57,22,1,0,F S,Southampton,10,6.7542363833636045,10.482222445309162,2.4790419340133667
4456,Chris Wood,33,2765,12,12.954142516478896,3,2.038118289783597,70,23,0,0,F S,Burnley,10,11.431802516803145,13.58528614230454,2.1498528448864818
522,Wilfried Zaha,30,2615,11,8.804446421563625,2,3.7028177306056023,60,30,6,0,F M S,Crystal Palace,9,7.282108388841152,13.579470183700323,3.6344375163316727
556,Marcus Rashford,37,2941,11,9.579708877950907,9,4.185123202390969,79,44,4,0,F M S,Manchester United,11,9.579708877950907,20.441918712109327,8.927209110930562
838,Sadio Mané,35,2805,11,14.828551573678851,7,7.787754092365503,94,61,3,0,F M S,Liverpool,11,14.828551573678851,24.998916164040565,6.057659732177854
2251,Gareth Bale,20,909,11,5.797856383025646,2,1.842241832986474,38,21,1,0,M S,Tottenham,11,5.797856383025646,8.149641066789627,2.594512384850532
7153,Matheus Pereira,33,2594,11,6.948313331231475,6,6.355541097000241,65,58,2,1,M S,West Bromwich Albion,7,3.9036400113254786,10.85705378651619,3.7579240780323744
318,Pierre-Emerick Aubameyang,29,2333,10,10.450049884617329,3,2.4313496705144644,57,22,2,0,F M S,Arsenal,8,8.92772065103054,15.113904694095254,3.955130212008953
531,Michail Antonio,26,1993,10,14.138836644589901,5,3.194422224536538,63,27,3,0,F S,West Ham,10,14.138836644589901,19.27381713874638,2.7705205250531435
606,Christian Benteke,30,1824,10,7.457400366663933,1,0.6976268962025642,71,15,1,1,F S,Crystal Palace,10,7.457400366663933,8.472844080999494,3.1535544050857425
618,Raheem Sterling,31,2539,10,12.050680804997683,7,6.628709137439728,70,39,4,0,F M S,Manchester City,10,11.28951171785593,25.88370618596673,12.173164084553719
3294,Edinson Cavani,26,1355,10,8.603237739764154,3,2.3172431979328394,34,14,4,0,F S,Manchester United,10,8.603237739764154,12.259185567498207,2.7306441962718964
5612,Anwar El Ghazi,28,1612,10,9.037513121031225,0,1.882866207510233,64,26,2,0,F M S,Aston Villa,6,5.9928371934220195,7.845566677860916,2.691346569918096
5656,Nicolas Pepe,29,1602,10,6.000205853953958,1,1.0121595980599523,47,11,1,1,F M S,Arsenal,9,5.23903716634959,9.359735170379281,4.2177279610186815
8288,Tomas Soucek,38,3420,10,8.98297917842865,1,2.444754745811224,64,18,7,1,M,West Ham,10,8.98297917842865,16.998424904420972,8.716955738142133
482,Roberto Firmino,36,2882,9,12.860216487199068,7,6.116864521056414,83,44,2,0,F M S,Liverpool,9,12.860216487199068,25.271468130871654,10.198549590073526
558,Jesse Lingard,16,1434,9,5.249173816293478,4,2.329291282221675,42,18,3,0,F M,West Ham,8,3.7268305122852325,10.09571509808302,5.690431963652372
750,Riyad Mahrez,27,1961,9,6.232445145025849,6,6.086521776393056,58,45,0,0,F M S,Manchester City,9,6.232445145025849,18.846322424709797,9.170802794396877
5543,Gabriel Jesus,29,2053,9,9.653350956737995,4,3.549695127643645,55,31,2,0,F M S,Manchester City,9,9.653350956737995,17.878482265397906,6.2336467280983925
6055,Phil Foden,28,1606,9,6.083392720669508,5,4.749280586838722,45,36,0,0,F M S,Manchester City,9,6.083392720669508,13.835046902298927,5.486509682610631
6681,Harvey Barnes,25,1954,9,6.697317669168115,4,1.7716885916888714,56,26,0,0,F M S,Leicester,9,6.697317669168115,8.893779151141644,1.594841817393899
6854,Diogo Jota,19,1114,9,7.057722978293896,0,1.7625195607542992,46,12,2,0,F M S,Liverpool,9,7.057722978293896,10.972966209053993,4.07609829492867
7700,Che Adams,36,2685,9,12.118733704090118,5,5.227753119543195,55,37,1,0,F S,Southampton,9,12.118733704090118,14.486906673759222,2.744625011458993
843,James Ward-Prowse,38,3420,8,5.442037345841527,7,4.070980126038194,43,60,5,0,D M,Southampton,5,2.3973618019372225,10.637730375863612,9.401035180315375
1776,Jarrod Bowen,38,2599,8,7.988896971568465,5,5.229475359432399,55,29,0,0,F M S,West Ham,8,7.988896971568465,14.171945477835834,3.0969946375116706
3621,Neal Maupay,33,2526,8,13.77353422343731,2,4.277407944202423,71,32,1,1,F M S,Brighton,5,10.728933367878199,17.15754107758403,3.381784388795495
6630,Joe Willock,21,1215,8,5.088086500763893,0,0.733700979501009,23,10,1,0,M S,"Arsenal,Newcastle United",8,4.326921537518501,7.007068745791912,2.9877239307388663
6818,James Maddison,31,2123,8,3.8275705073028803,5,5.386723550967872,75,50,4,0,M S,Leicester,8,3.8275705073028803,11.743434881791472,6.07312859967351
7711,David McGoldrick,35,2409,8,7.605752557516098,1,1.1166191883385181,71,17,7,0,F M S,Sheffield United,8,7.605752557516098,9.950739700347185,3.25369658973068
8718,Stuart Dallas,38,3412,8,4.457073759287596,2,2.084682686254382,48,26,7,0,D M,Leeds,8,4.457073759287596,18.53434094041586,13.809801509603858
