id,isResult,side,h,a,goals,xG,datetime,forecast,result,ref_team_id
16381,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '1', 'a': '0'}","{'h': '0.668082', 'a': '1.32714'}",2021-08-14 14:00:00,"{'w': 0.1878406303802664, 'd': 0.2860607355140984, 'l': 0.5260986340902071}",w,75
16395,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '4', 'a': '1'}","{'h': '2.28613', 'a': '0.62676'}",2021-08-23 19:00:00,"{'w': 0.749658467443127, 'd': 0.16488892752096013, 'l': 0.08545258298442696}",l,75
16398,True,a,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '1', 'a': '2'}","{'h': '1.44084', 'a': '1.27371'}",2021-08-28 14:00:00,"{'w': 0.41020957212622344, 'd': 0.25633667694130247, 'l': 0.3334537508761065}",w,75
16409,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '1'}","{'h': '0.8001', 'a': '2.75058'}",2021-09-11 14:00:00,"{'w': 0.08250360216614991, 'd': 0.1364114793373138, 'l': 0.7810846887875605}",l,75
16423,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '2', 'a': '1'}","{'h': '1.47438', 'a': '1.25373'}",2021-09-19 13:00:00,"{'w': 0.42309584825922947, 'd': 0.25483511927276264, 'l': 0.32206903239580087}",l,75
16430,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '2', 'a': '2'}","{'h': '2.16233', 'a': '0.428866'}",2021-09-25 14:00:00,"{'w': 0.7775312256954845, 'd': 0.16228643220069025, 'l': 0.060182331371407556}",d,75
16439,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '2', 'a': '2'}","{'h': '1.1703', 'a': '1.04322'}",2021-10-03 13:00:00,"{'w': 0.38714003328369173, 'd': 0.2894796271571065, 'l': 0.32338033955595075}",d,75
16450,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '4', 'a': '2'}","{'h': '2.96611', 'a': '1.02494'}",2021-10-16 14:00:00,"{'w': 0.7657253540159012, 'd': 0.13488823339708356, 'l': 0.09938582922632884}",w,75
16457,True,a,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '1', 'a': '2'}","{'h': '1.16789', 'a': '1.00254'}",2021-10-24 13:00:00,"{'w': 0.39562746764549545, 'd': 0.29235054693013224, 'l': 0.3120219854214305}",w,75
16468,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '2'}","{'h': '1.98801', 'a': '1.10288'}",2021-10-30 11:30:00,"{'w': 0.5788847827652518, 'd': 0.21507739566470632, 'l': 0.20603781799185186}",l,75
